"","COUNTYFP","YEAR","Total_DEQ_withdrawals","SF_Unreported_Eff_precip_method_all_counties","SF_Unreported_Coeff_method_Deq_irri_counties","DEQ_Irrigation_withdrawals","LF_Unreported_Coeff_method_Deq_irri_counties","LF_Unreported_Eff_precip_method_all_counties","Total_irrigation_withdarwals_calculated"
"1204",91,2011,2572.3538,2.58,NA,NA,NA,3.15,5.73
"1205",93,2011,2916.240513,5.06,3.2,40.315,35.62,105.655,151.03
"1206",95,2011,2997.389806,2.64,NA,NA,NA,3.92,6.56
"1207",97,2011,138.29,3.02,2.75,134.53,-91.79,-95.82,137.55
"1208",99,2011,1345.499,2.95,7.71,172.54,-24.43,-126.29,175.49
"1209",101,2011,6949.154117,1.29,5.84,439.704,71.73,-271.764,440.994
"1210",103,2011,153.17584,1.84,NA,NA,NA,0,1.84
"1211",105,2011,841.249,12.13,NA,NA,NA,29.61,41.74
"1212",107,2011,2349.8622879,60.82,52.56,32.661098,1160.06,502.1689,595.649998
"1213",109,2011,241.757659,15.57,NA,NA,NA,45.52,61.09
"1214",111,2011,201.2663,6.37,4.96,3.8123,100.24,193.9177,204.1
"1215",113,2011,47.97794,13.43,NA,NA,NA,5.58,19.01
"1216",115,2011,1.61958,2.21,NA,NA,NA,3.53,5.74
"1217",117,2011,640.5737,21.34,NA,0,NA,923.36,944.7
"1218",119,2011,585.6957,2.61,8.7,61.8,48,8.96,73.37
"1219",121,2011,12867.6748,13.14,10.48,42.83,47.12,61.74,117.71
"1220",125,2011,927.859,20.57,19.33,428.226,-213.67,-239.706,448.796
"1221",127,2011,9745.269793,3.13,7.98,49.382,62.81,43.078,95.59
"1222",131,2011,1621.954213,9.93,18.25,1410.28676,2488.1,284.79324,1705.01
"1223",133,2011,2474.91376,0.31,NA,NA,NA,5.56,5.87
"1224",135,2011,440.141,7.85,NA,NA,NA,39.77,47.62
"1225",137,2011,699.40973,10.11,36.58,38,329.29,85.58,133.69
"1226",139,2011,620.56418,5.46,5.56,33.46708,73.25,35.85292,74.78
"1227",141,2011,249.4576,18.86,2.72,0.5,50.14,68.87,88.23
"1228",143,2011,695.23542,45.2,30.19,42.67149,788.79,1275.62851,1363.5
"1229",145,2011,72.779182,3.74,4.19,3.78,11.02,9.3,16.82
"1230",147,2011,393.2508,6.96,100.93,3.1968,779.07,15.2632,25.42
"1231",149,2011,189.247589,1.18,NA,48.47,NA,-48.47,49.65
"1232",153,2011,23784.074801,15.25,54,71.3,3020.81,201.93,288.48
"1233",155,2011,1617.199,6.62,NA,NA,NA,41.5,48.12
"1234",157,2011,12.347,18.38,NA,NA,NA,21.36,39.74
"1235",159,2011,114.12743,2.1,NA,NA,NA,14.4,16.5
"1236",161,2011,6568.09,17.56,NA,0,NA,8.78,26.34
"1237",163,2011,888.6988,14.68,NA,0,NA,21.08,35.76
"1238",165,2011,9085.871566,75.74,87.4,375.030958,1470.58,1045.80904,1496.579998
"1239",167,2011,455.015812,5.52,NA,0,NA,20.88,26.4
"1240",169,2011,389.669,11.96,NA,NA,NA,21.47,33.43
"1241",171,2011,1994.57137,32.65,56.82,79.554,353.9,144.006,256.21
"1242",173,2011,2530.2141,9.17,NA,0,NA,20.85,30.02
"1243",175,2011,2777.070301,3.85,3.69,241.2895,454.5,270.5405,515.68
"1244",177,2011,3795.00552,7.6,7.53,8.505,2.55,10.345,26.45
"1245",179,2011,3788.575786,3.65,NA,0,NA,19.72,23.37
"1246",181,2011,110.889385,4.93,4.42,29.74,177.97,180.09,214.76
"1247",183,2011,377.198739,2.2,1.73,41.1,206.16,153.63,196.93
"1248",185,2011,1640.6366,8.06,NA,NA,NA,60.03,68.09
"1249",187,2011,3458.21,11.37,NA,NA,NA,0,11.37
"1250",191,2011,3872.963,27.99,NA,NA,NA,55.73,83.72
"1251",193,2011,570.13066,7.41,8.23,241.49,-7.08,-49.81,248.9
"1252",195,2011,2734.3837,1.41,NA,NA,NA,2.1,3.51
"1253",197,2011,2608.427673,11.5,NA,NA,NA,25.19,36.69
"1254",199,2011,8839.810088,1.74,NA,NA,NA,0.63,2.37
"1255",510,2011,0,NA,NA,NA,NA,NA,0
"1256",520,2011,0,NA,NA,NA,NA,NA,0
"1257",530,2011,300.7646,NA,NA,NA,NA,NA,0
"1258",540,2011,10.1955,NA,NA,NA,NA,NA,0
"1259",550,2011,2890.059416,13.98,12.92,1.739638,24.39,42.53036,58.249998
"1260",580,2011,762.53,NA,NA,NA,NA,NA,0
"1261",590,2011,2068.13,NA,NA,NA,NA,NA,0
"1262",595,2011,306.505,NA,NA,NA,NA,NA,0
"1263",600,2011,35.95,NA,NA,NA,NA,NA,0
"1264",620,2011,364.81,NA,NA,NA,NA,NA,0
"1265",630,2011,0,NA,NA,NA,NA,NA,0
"1266",640,2011,649.26,NA,NA,NA,NA,NA,0
"1267",650,2011,46.09514,NA,NA,NA,NA,NA,0
"1268",660,2011,12.2257907,NA,NA,NA,NA,NA,0
"1269",670,2011,53566.83,NA,NA,NA,NA,NA,0
"1270",680,2011,101.75,NA,NA,NA,NA,NA,0
"1271",683,2011,4792.359,NA,NA,NA,NA,NA,0
"1272",685,2011,0,NA,NA,NA,NA,NA,0
"1273",690,2011,720.146,NA,NA,NA,NA,NA,0
"1274",700,2011,9068.443164,NA,NA,NA,NA,NA,0
"1275",710,2011,818.098613,NA,NA,NA,NA,NA,0
"1276",720,2011,258.982,NA,NA,NA,NA,NA,0
"1277",730,2011,17.7189,NA,NA,0,NA,NA,0
"1278",740,2011,75.783219,NA,NA,NA,NA,NA,0
"1279",750,2011,775.92,NA,NA,NA,NA,NA,0
"1280",760,2011,23419.85,NA,NA,1.99,NA,NA,1.99
"1281",770,2011,5544.96,NA,NA,NA,NA,NA,0
"1282",775,2011,1517.596,NA,NA,NA,NA,NA,0
"1283",800,2011,31780.591005,14.95,10.29,142.75,-56.55,-19.58,157.7
"1284",810,2011,11712.464182,11.08,NA,0,NA,48.15,59.23
"1285",820,2011,2117.698,NA,NA,NA,NA,NA,0
"1286",830,2011,428.643717,NA,NA,NA,NA,NA,0
"1287",840,2011,31.28,NA,NA,NA,NA,NA,0
"1288",NA,2011,104.444532,NA,NA,NA,NA,NA,0
"1289",1,2012,4613.681973,10.58,17.01,3414.518315,-927.23,-2204.41831,3425.098315
"1290",3,2012,3716.21486,26.67,NA,NA,NA,249.55,276.22
"1291",5,2012,14351.1265,2.4,NA,NA,NA,22.71,25.11
"1292",7,2012,117.781,13.83,48.34,85.5,377.05,56.66,155.99
"1293",9,2012,6074.989,7.07,NA,NA,NA,31.44,38.51
"1294",11,2012,42.3,8.53,NA,NA,NA,10.3,18.83
"1295",13,2012,46.415,NA,NA,NA,NA,NA,0
"1296",15,2012,4038.266156,35.31,47.46,424.6243,426.94,163.1257,623.06
"1297",17,2012,3818.33,1.65,NA,NA,NA,2.82,4.47
"1298",19,2012,6562.0609,15.93,11.89,11.55,0.28,72.67,100.15
"1299",21,2012,78.756,2.77,NA,NA,NA,34.61,37.38
"1300",23,2012,621.356066,6.23,NA,NA,NA,8.1,14.33
"1301",25,2012,361.79871,4.99,NA,0,NA,205.95,210.94
"1302",27,2012,657.92134,NA,NA,NA,NA,NA,0
"1303",29,2012,125.099,4.44,NA,NA,NA,8.74,13.18
"1304",31,2012,1786.7911,27.4,26.19,57.88,-6.56,60.66,145.94
"1305",33,2012,2654.55079,7.51,7.09,792.39,-45.08,-141.66,799.9
"1306",35,2012,190.4055,6.6,NA,0,NA,176.28,182.88
"1307",36,2012,428.065565,2.99,7.41,405.611,57.42,-131.961,408.601
"1308",37,2012,82.747,28.9,23.94,15.3,100.44,143.02,187.22
"1309",41,2012,32729.120098,8.99,5.32,22.9,-0.27,5.21,37.1
"1310",43,2012,252.6576,13.26,22.75,46.58,25.86,21.43,81.27
"1311",45,2012,895.4523,4.28,NA,0,NA,14.16,18.44
"1312",47,2012,998.447221,21.7,33.59,93.1449,46.38,38.2951,153.14
"1313",49,2012,2.3137,6.2,NA,NA,NA,38.79,44.99
"1314",51,2012,2145.649,2.56,NA,NA,NA,0,2.56
"1315",53,2012,52.41692,10.95,8.7,17.00596,218.21,347.24404,375.2
"1316",57,2012,481.4514,6.06,16.04,351.4,-268.06,-321.53,357.46
"1317",59,2012,32000.095555,19.03,NA,0,NA,0,19.03
"1318",61,2012,1089.4393,54.22,NA,NA,NA,119.98,174.2
"1319",63,2012,34.472,39.51,32.2,21.1,-6.25,-2.66,60.61
"1320",65,2012,326.771,6.41,NA,NA,NA,20.07,26.48
"1321",67,2012,450.932735,9.47,NA,0,NA,58.19,67.66
"1322",69,2012,1624.9001,22.14,NA,0,NA,33.08,55.22
"1323",71,2012,24019.4406,8.38,NA,NA,NA,1.06,9.44
"1324",73,2012,475.7657,11.47,NA,NA,NA,0.82,12.29
"1325",75,2012,801.5221,4.83,NA,0,NA,10.11,14.94
"1326",77,2012,36.6599,11.22,NA,NA,NA,23.95,35.17
"1327",79,2012,228.98635,7.01,NA,NA,NA,1.05,8.06
"1328",81,2012,743.817485,0.66,0.62,32.252,-0.96,-0.432,32.912
"1329",83,2012,675.589,26.52,9,2.139,102.21,450.181,478.84
"1330",85,2012,1177.758605,57.84,63.2,560.29,644.81,267.91,886.04
"1331",87,2012,9648.404868,6.15,3.88,100.69,-100.69,-100.69,106.84
"1332",89,2012,1209.6859802,7.37,NA,NA,NA,69.48,76.85
"1333",91,2012,2577.252,2.02,NA,NA,NA,2.47,4.49
"1334",93,2012,4499.247341,2.9,0.46,5.75,5.08,78,86.65
"1335",95,2012,2230.915845,2.76,NA,NA,NA,4.09,6.85
"1336",97,2012,250.445,7.94,5.04,246.17,-167.96,-144.31,254.11
"1337",99,2012,636.7857,6.49,9.67,216.35,-30.64,-114.76,222.84
"1338",101,2012,7903.222704,4.47,4.68,352.326,57.48,231.184,587.98
"1339",103,2012,177.58216,2.94,NA,NA,NA,0,2.94
"1340",105,2012,800.624,9.97,NA,NA,NA,24.34,34.31
"1341",107,2012,2337.318326,63.51,0.7,0.4321,15.35,557.9879,621.93
"1342",109,2012,217.138472,15.42,NA,NA,NA,45.08,60.5
"1343",111,2012,170.069,6.84,8.79,6.76,177.74,205.57,219.17
"1344",113,2012,49.5564,9.88,NA,NA,NA,4.1,13.98
"1345",115,2012,7.8853,2.79,NA,NA,NA,4.44,7.23
"1346",117,2012,585.58439,10.14,NA,0,NA,438.59,448.73
"1347",119,2012,144.40603,4.02,12.5,88.8,68.97,20.3,113.12
"1348",121,2012,10645.2492,11.58,16.06,65.645,72.22,26.535,103.76
"1349",125,2012,1032.9,19.44,19.18,424.98,-212.05,-246.8,444.42
"1350",127,2012,8642.373617,3.13,9.1,56.3,71.61,36.16,95.59
"1351",131,2012,1177.014682,9.11,11.41,881.646009,1555.44,672.86399,1563.619999
"1352",133,2012,135.1638,0.48,NA,NA,NA,8.58,9.06
"1353",135,2012,392.96,10.64,NA,NA,NA,53.91,64.55
"1354",137,2012,641.9746,9.34,10.59,11,95.32,103.21,123.55
"1355",139,2012,646.848,4.59,8.64,51.94,113.68,6.3,62.83
"1356",141,2012,251.0541,12.43,NA,0,NA,45.72,58.15
"1357",143,2012,703.511485,35.01,19.2,27.140785,501.7,994.13921,1056.289995
"1358",145,2012,40.7775,4.7,4.43,4,11.66,12.43,21.13
"1359",147,2012,380.86968,8.82,1.63,0.05148,12.55,23.30852,32.18
"1360",149,2012,107.589905,1.68,NA,0,NA,0,1.68
"1361",153,2012,24517.308691,15.79,35.91,47.42,2009.07,235.65,298.86
"1362",155,2012,1651.929,5.54,NA,NA,NA,34.71,40.25
"1363",157,2012,13.24,13.77,NA,NA,NA,16,29.77
"1364",159,2012,100.346,4.48,NA,NA,NA,30.81,35.29
"1365",161,2012,4364.626,14.19,NA,0,NA,7.1,21.29
"1366",163,2012,818.7137,9.84,NA,0,NA,14.13,23.97
"1367",165,2012,9269.70398,49.29,134.75,578.196,2267.24,346.394,973.88
"1368",167,2012,233.732,5.19,NA,0,NA,19.64,24.83
"1369",169,2012,377.6281,8.6,NA,NA,NA,15.44,24.04
"1370",171,2012,1984.4259,21.47,22.83,31.96,142.18,115.04,168.47
"1371",173,2012,2090.0066,8.33,NA,0,NA,18.93,27.26
"1372",175,2012,1398.276026,2.24,2.44,159.7402,300.89,137.8298,299.81
"1373",177,2012,3808.4174,10.73,9.03,10.2,3.06,16.38,37.31
"1374",179,2012,3946.842,5.08,NA,0,NA,27.39,32.47
"1375",181,2012,78.119956,4.35,3.32,22.35,133.75,162.72,189.42
"1376",183,2012,456.542,3.24,3.02,71.71,359.7,215.27,290.22
"1377",185,2012,613.3172,6.33,NA,NA,NA,47.15,53.48
"1378",187,2012,3510.696,9.13,NA,NA,NA,0,9.13
"1379",191,2012,3633.4089,22.8,NA,NA,NA,45.39,68.19
"1380",193,2012,757.3936,16.92,12.96,380.14,-11.15,57.52,454.58
"1381",195,2012,2587.3307,1.17,NA,NA,NA,1.76,2.93
"1382",197,2012,2699.777321,10.01,NA,NA,NA,21.91,31.92
"1383",199,2012,8251.782001,2.42,NA,NA,NA,0.86,3.28
"1384",510,2012,0,NA,NA,NA,NA,NA,0
"1385",520,2012,0,NA,NA,NA,NA,NA,0
"1386",530,2012,273.8006,NA,NA,NA,NA,NA,0
"1387",540,2012,16.66,NA,NA,NA,NA,NA,0
"1388",550,2012,2422.93334,11.18,NA,0,NA,35.42,46.6
"1389",580,2012,709.54,NA,NA,NA,NA,NA,0
"1390",590,2012,1915.09,NA,NA,NA,NA,NA,0
"1391",595,2012,288.328,NA,NA,NA,NA,NA,0
"1392",600,2012,27.45,NA,NA,NA,NA,NA,0
"1393",620,2012,338.713,NA,NA,NA,NA,NA,0
"1394",630,2012,0,NA,NA,NA,NA,NA,0
"1395",640,2012,655.58,NA,NA,NA,NA,NA,0
"1396",650,2012,0,NA,NA,NA,NA,NA,0
"1397",660,2012,18.15,NA,NA,NA,NA,NA,0
"1398",670,2012,54119.22,NA,NA,NA,NA,NA,0
"1399",680,2012,0,NA,NA,NA,NA,NA,0
"1400",683,2012,4882.549,NA,NA,NA,NA,NA,0
"1401",690,2012,679.59,NA,NA,NA,NA,NA,0
"1402",700,2012,11414.804461,NA,NA,NA,NA,NA,0
"1403",710,2012,108.03835,NA,NA,NA,NA,NA,0
"1404",720,2012,253.6,NA,NA,NA,NA,NA,0
"1405",730,2012,24.841,NA,NA,1,NA,NA,1
"1406",740,2012,56.934953,NA,NA,NA,NA,NA,0
"1407",750,2012,856.4,NA,NA,NA,NA,NA,0
"1408",760,2012,23417.72,NA,NA,1.39,NA,NA,1.39
"1409",770,2012,5553.82,NA,NA,NA,NA,NA,0
"1410",775,2012,1479.06609,NA,NA,NA,NA,NA,0
"1411",800,2012,33496.6765933,6.16,9.59,133.01,-52.69,-82.26,139.17
"1412",810,2012,7247.615924,9.81,NA,0,NA,42.66,52.47
"1413",820,2012,1986.379,NA,NA,NA,NA,NA,0
"1414",830,2012,511.55038,NA,NA,NA,NA,NA,0
"1415",840,2012,30.85,NA,NA,NA,NA,NA,0
"1416",NA,2012,92.3146,NA,NA,NA,NA,NA,0
"1417",1,2013,3885.938636,9.98,12.24,2455.9686,-666.93,-1314.8486,2465.9486
"1418",3,2013,3691.724044,7.94,NA,NA,NA,74.28,82.22
"1419",5,2013,14453.7408,1.58,NA,NA,NA,14.95,16.53
"1420",7,2013,34.932072,7.2,NA,0,NA,74.03,81.23
"1421",9,2013,6247.357,1.75,NA,NA,NA,7.8,9.55
"1422",11,2013,6.1,2.78,NA,NA,NA,3.37,6.15
"1423",13,2013,45.008,NA,NA,NA,NA,NA,0
"1424",15,2013,3834.93158,24.01,30.5,272.9134,274.4,126.7566,423.68
"1425",17,2013,4687.6,1.08,NA,NA,NA,1.85,2.93
"1426",19,2013,6466.1927,6.54,11.89,11.55,0.28,23.02,41.11
"1427",21,2013,61.42263,1.55,NA,NA,NA,19.44,20.99
"1428",23,2013,2633.953099,2.37,NA,NA,NA,3.08,5.45
"1429",25,2013,364.13693,5.45,NA,0,NA,224.8,230.25
"1430",27,2013,553.4833,NA,NA,NA,NA,NA,0
"1431",29,2013,141.67,1.4,NA,NA,NA,2.75,4.15
"1432",31,2013,1883.84,15.17,28.3,62.55,-7.09,3.1,80.82
"1433",33,2013,2088.19321,2.85,3.16,352.624,-20.06,-105.714,355.474
"1434",35,2013,351.5007,1.65,NA,0,NA,44.07,45.72
"1435",36,2013,189.518527,1.25,3,164.02,23.22,-49.56,165.27
"1436",37,2013,71.132,12.25,10.56,6.75,44.31,60.33,79.33
"1437",41,2013,31194.74348,4.06,4.79,20.6,-0.24,-7.91,24.66
"1438",43,2013,244.1499,9.86,20.95,42.88,23.81,7.68,60.42
"1439",45,2013,1079.777,1.95,NA,0,NA,6.44,8.39
"1440",47,2013,910.843494,10.61,5.58,15.4677,7.7,48.8223,74.9
"1441",49,2013,1.55031,1.96,NA,NA,NA,12.27,14.23
"1442",51,2013,2198.487,1.27,NA,NA,NA,0,1.27
"1443",53,2013,22.43832,7.16,1.33,2.592,33.26,235.518,245.27
"1444",57,2013,288.73802,2.97,7.35,160.99,-122.81,-146.33,163.96
"1445",59,2013,31258.994861,10.31,NA,0,NA,0,10.31
"1446",61,2013,1081.42624,38.76,NA,NA,NA,85.77,124.53
"1447",63,2013,57.593,15.48,18.49,12.113,-3.59,-4.893,27.593
"1448",65,2013,324.80702,1.18,NA,NA,NA,3.69,4.87
"1449",67,2013,375.27545,10.52,NA,0,NA,64.66,75.18
"1450",69,2013,1733.884263,18.11,NA,0,NA,27.07,45.18
"1451",71,2013,24397.319,2.37,NA,NA,NA,0.3,2.67
"1452",73,2013,441.0501,4.29,NA,NA,NA,0.31,4.6
"1453",75,2013,879.82863,0.53,NA,0,NA,1.1,1.63
"1454",77,2013,20.02731,-1.96,NA,NA,NA,-4.2,0
"1455",79,2013,236.5888,5.16,NA,NA,NA,0.77,5.93
"1456",81,2013,765.2002,0.84,0.51,26.56,-0.79,13.99,41.39
"1457",83,2013,717.093,10.04,0.21,0.05,2.39,171.2,181.29
"1458",85,2013,920.863018,14.97,43.73,387.737,446.23,-173.377,402.707
"1459",87,2013,8744.904,1.86,1.99,51.54,-51.54,-51.54,53.4
"1460",89,2013,1174.69396,2.48,NA,NA,NA,23.43,25.91
"1461",91,2013,2536.5408,1.36,NA,NA,NA,1.66,3.02
"1462",93,2013,6509.866805,2.61,NA,0,NA,75.29,77.9
"1463",95,2013,2436.65764,1.2,NA,NA,NA,1.79,2.99
"1464",97,2013,148.32,4.13,2.98,145.63,-99.36,-92.63,149.76
"1465",99,2013,490.7295,3.09,4.25,95.19,-13.48,-46.85,98.28
"1466",101,2013,7530.540109,1.98,2.33,175.069,28.56,83.311,260.36
"1467",103,2013,163.16106,2.22,NA,NA,NA,0,2.22
"1468",105,2013,850.305,3.65,NA,NA,NA,8.93,12.58
"1469",107,2013,2266.551629,46.51,0.29,0.1829,6.5,408.8071,455.5
"1470",109,2013,236.89296,3.93,NA,NA,NA,11.49,15.42
"1471",111,2013,160.405,4.38,NA,0,NA,135.94,140.32
"1472",113,2013,52.35381,6.49,NA,NA,NA,2.69,9.18
"1473",115,2013,0.95117,1.96,NA,NA,NA,3.11,5.07
"1474",117,2013,631.06386,13.16,NA,0,NA,569.41,582.57
"1475",119,2013,74.3822,2.66,2.45,17.41,13.52,54.83,74.9
"1476",121,2013,9217.795,6.35,6.53,26.69,29.36,23.85,56.89
"1477",125,2013,862.181221,3.82,8.76,194.146221,-96.87,-159.14622,197.966221
"1478",127,2013,5432.23891,1.55,7.73,47.8,60.8,-2.04,49.35
"1479",131,2013,1050.15797,9.21,9.57,739.678419,1304.98,831.36158,1580.249999
"1480",133,2013,93.23522,0.38,NA,NA,NA,6.78,7.16
"1481",135,2013,394.91,6.76,NA,NA,NA,34.23,40.99
"1482",137,2013,734.7035,4.6,1.73,1.8,15.6,54.42,60.82
"1483",139,2013,641.736,2.95,4.26,25.65,56.14,11.77,40.37
"1484",141,2013,256.589,2.88,NA,0,NA,10.58,13.46
"1485",143,2013,616.24372,9.9,NA,0,NA,288.89,298.79
"1486",145,2013,49.46959,1.51,0.55,0.5,1.46,4.8,6.81
"1487",147,2013,383.845,3.19,NA,0,NA,8.47,11.66
"1488",149,2013,96.14484,0.72,NA,0,NA,0,0.72
"1489",153,2013,22925.1907502,11.35,48.31,63.794,2702.8,139.666,214.81
"1490",155,2013,1609.155,1.97,NA,NA,NA,12.35,14.32
"1491",157,2013,11.54,12.65,NA,NA,NA,14.7,27.35
"1492",159,2013,97.00689,2.35,NA,NA,NA,16.17,18.52
"1493",161,2013,6238.1124,4.95,NA,0,NA,2.48,7.43
"1494",163,2013,860.771516,6.08,NA,0,NA,8.72,14.8
"1495",165,2013,8510.58959,42.33,44.19,189.61575,743.53,604.38425,836.33
"1496",167,2013,223.2439,1.85,NA,0,NA,7,8.85
"1497",169,2013,373.572,1.03,NA,NA,NA,1.84,2.87
"1498",171,2013,2127.3073,19.23,7.14,10,44.49,121.69,150.92
"1499",173,2013,1888.6984,1.72,NA,0,NA,3.92,5.64
"1500",175,2013,1426.428095,1.65,1,65.13,122.68,155.08,221.86
"1501",177,2013,4032.42184,4.78,0.06,0.07,0.02,11.76,16.61
"1502",179,2013,4106.518,2.44,NA,0,NA,13.18,15.62
"1503",181,2013,74.123918,1.63,1.66,11.2,67.02,58.35,71.18
"1504",183,2013,249.0034,1.82,0.63,14.9,74.74,146.16,162.88
"1505",185,2013,1479.415,2.9,NA,NA,NA,21.62,24.52
"1506",187,2013,3284.985,6.97,NA,NA,NA,0,6.97
"1507",191,2013,2699.639,6.77,NA,NA,NA,13.48,20.25
"1508",193,2013,1169.58614,8.46,28.47,834.9471,-24.49,-616.1171,843.4071
"1509",195,2013,2710.2101,1.1,NA,NA,NA,1.65,2.75
"1510",197,2013,2607.691248,2.13,NA,NA,NA,4.66,6.79
"1511",199,2013,6875.016903,0.57,NA,NA,NA,0.2,0.77
"1512",510,2013,0,NA,NA,NA,NA,NA,0
"1513",520,2013,0.64201,NA,NA,NA,NA,NA,0
"1514",530,2013,232.497,NA,NA,NA,NA,NA,0
"1515",540,2013,5.628675,NA,NA,NA,NA,NA,0
"1516",550,2013,2156.981529,10.05,0.05,0.006829,0.1,31.83317,41.889999
"1517",580,2013,707.147,NA,NA,NA,NA,NA,0
"1518",590,2013,1846.09,NA,NA,NA,NA,NA,0
"1519",595,2013,274.112,NA,NA,NA,NA,NA,0
"1520",600,2013,26.45,NA,NA,NA,NA,NA,0
"1521",620,2013,343.168,NA,NA,NA,NA,NA,0
"1522",630,2013,0,NA,NA,NA,NA,NA,0
"1523",640,2013,636.01,NA,NA,NA,NA,NA,0
"1524",650,2013,0,NA,NA,NA,NA,NA,0
"1525",660,2013,17.84,NA,NA,NA,NA,NA,0
"1526",670,2013,52339.774,NA,NA,NA,NA,NA,0
"1527",680,2013,0,NA,NA,NA,NA,NA,0
"1528",683,2013,5046.645,NA,NA,NA,NA,NA,0
"1529",690,2013,629.676,NA,NA,NA,NA,NA,0
"1530",700,2013,10246.34821,NA,NA,NA,NA,NA,0
"1531",710,2013,283.220794,NA,NA,NA,NA,NA,0
"1532",720,2013,193.73,NA,NA,NA,NA,NA,0
"1533",730,2013,17.687,NA,NA,0,NA,NA,0
"1534",740,2013,59.476164,NA,NA,NA,NA,NA,0
"1535",750,2013,1041,NA,NA,NA,NA,NA,0
"1536",760,2013,21605.47,NA,NA,1.73,NA,NA,1.73
"1537",770,2013,5399.0652,NA,NA,NA,NA,NA,0
"1538",775,2013,1413.082,NA,NA,NA,NA,NA,0
"1539",800,2013,34425.548815838,6.85,7.49,103.86,-41.14,-47.4,110.71
"1540",810,2013,10633.944637,6.32,NA,0,NA,27.49,33.81
"1541",820,2013,1901.986,NA,NA,NA,NA,NA,0
"1542",830,2013,662.831007,NA,NA,NA,NA,NA,0
"1543",840,2013,4.95,NA,NA,NA,NA,NA,0
"1544",NA,2013,71.346396,NA,NA,NA,NA,NA,0
"1545",1,2014,4938.812361,15.79,16.18,3246.88297,-881.71,-1441.14297,3262.67297
"1546",3,2014,3713.283324,25.68,NA,NA,NA,240.26,265.94
"1547",5,2014,14955.5019,2.44,NA,NA,NA,23.09,25.53
"1548",7,2014,47.175912,10.78,7.16,12.67,55.87,98.15,121.6
"1549",9,2014,6378.15405,5.35,NA,NA,NA,23.77,29.12
"1550",11,2014,7.05,7.74,NA,NA,NA,9.36,17.1
"1551",13,2014,47.7704,NA,NA,NA,NA,NA,0
"1552",15,2014,4047.817495,55.29,42.21,377.7,379.76,542.55,975.54
"1553",17,2014,4392.794,2.3,NA,NA,NA,3.93,6.23
"1554",19,2014,6311.76544,9.56,11.89,11.55,0.28,38.98,60.09
"1555",21,2014,89.362,2.04,NA,NA,NA,25.56,27.6
"1556",23,2014,1177.104656,4.69,NA,NA,NA,6.09,10.78
"1557",25,2014,642.34081,4.99,NA,0,NA,205.95,210.94
"1558",27,2014,555.4526,NA,NA,NA,NA,NA,0
"1559",29,2014,131.51,3.69,NA,NA,NA,7.27,10.96
"1560",31,2014,2122.17432,20.63,50.86,112.41,-12.74,-23.15,133.04
"1561",33,2014,2763.579274,7.64,7.26,810.633,-46.12,-148.363,818.273
"1562",35,2014,204.4787,5.72,NA,0,NA,152.82,158.54
"1563",36,2014,438.635894,3.29,7.55,413.107,58.48,-111.827,416.397
"1564",37,2014,58.483169,25.96,19.09,12.2,80.09,130.02,168.18
"1565",41,2014,31354.534682,8.55,3.86,16.6,-0.2,10.15,35.3
"1566",43,2014,252.062,11.56,21.53,44.08,24.48,15.2,70.84
"1567",45,2014,1220.76,3.29,NA,0,NA,10.89,14.18
"1568",47,2014,961.366139,18.29,16.08,44.5845,22.2,66.1955,129.07
"1569",49,2014,12.44849,5.8,NA,NA,NA,36.35,42.15
"1570",51,2014,2286.681097,1.05,NA,NA,NA,0,1.05
"1571",53,2014,57.35252902,8.86,6.51,12.72234832,163.24,282.07765,303.65999832
"1572",57,2014,429.714714,5.52,14.21,311.47,-237.6,-284.24,316.99
"1573",59,2014,33259.414824,11.83,NA,0,NA,0,11.83
"1574",61,2014,1101.35295,42.03,NA,NA,NA,93,135.03
"1575",63,2014,65.694704,22.95,29.29,19.19,-5.69,-8.49,42.14
"1576",65,2014,326.3597,6.38,NA,NA,NA,19.98,26.36
"1577",67,2014,466.632626,31.04,NA,0,NA,190.74,221.78
"1578",69,2014,1740.5716,24.73,NA,0,NA,36.95,61.68
"1579",71,2014,24325.29,6.47,NA,NA,NA,0.83,7.3
"1580",73,2014,481,9.09,NA,NA,NA,0.66,9.75
"1581",75,2014,845.193335,5.77,NA,0,NA,12.07,17.84
"1582",77,2014,37.94715,9.39,NA,NA,NA,20.03,29.42
"1583",79,2014,251.34128,8,NA,NA,NA,1.19,9.19
"1584",81,2014,641.07068,0.94,0.54,28.11,-0.84,17.32,46.37
"1585",83,2014,704.805,17.57,NA,0,NA,299.69,317.26
"1586",85,2014,1116.707395,60.56,51.3,454.8596,523.48,412.3104,927.73
"1587",87,2014,9518.13294,7.34,4.35,112.91,-112.91,-112.91,120.25
"1588",89,2014,1148.593,6.35,NA,NA,NA,59.9,66.25
"1589",91,2014,2508.8215,3.08,NA,NA,NA,3.76,6.84
"1590",93,2014,6374.76442,6.58,7.02,88.4,78.11,101.37,196.35
"1591",95,2014,2604.292762,3.22,NA,NA,NA,4.77,7.99
"1592",97,2014,321.5699,6.21,6.53,318.88,-217.57,-239.19,325.09
"1593",99,2014,543.0164,5.9,7.16,160.32,-22.7,-67.83,166.22
"1594",101,2014,6771.040797,4.18,8.02,603.948,98.53,-59.208,608.128
"1595",103,2014,192.38879,2.94,NA,NA,NA,0,2.94
